"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1830","Should display correct sorting for name field and desc direction","sales-portal-ui","Sat May 31 19:46:48 UTC 2025","failed","Sat May 31 19:46:50 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","3959","Should NOT create customer with duplicated email","sales-portal-ui","Sat May 31 19:44:25 UTC 2025","passed","Sat May 31 19:44:29 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customer/add-new-customer.spec.ts","",""
"","1906","Should see correct data on product details modal","sales-portal-ui","Sat May 31 19:47:28 UTC 2025","passed","Sat May 31 19:47:29 UTC 2025","[UI] [Integration] [Products] [Details]","ui/tests/SalesPortal/products/integration(mock)/product-details.spec.ts","",""
"","0","Edit customer with smoke valid name","sales-portal-ui","Sat May 31 19:46:34 UTC 2025","skipped","Sat May 31 19:46:34 UTC 2025","[UI] [Customers] [Edit]","ui/tests/SalesPortal/customer/edit-customer.spec.ts","",""
"","4936","Should create customer with smoke data","sales-portal-ui","Sat May 31 19:44:20 UTC 2025","passed","Sat May 31 19:44:25 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customer/add-new-customer.spec.ts","",""
"","6103","Should delete customer on Edit Customer page","sales-portal-ui","Sat May 31 19:44:29 UTC 2025","passed","Sat May 31 19:44:36 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customer/delete-customer.spec.ts","",""
"","1827","Should display correct sorting for country field and asc direction","sales-portal-ui","Sat May 31 19:46:56 UTC 2025","failed","Sat May 31 19:46:58 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","2845","Should display valid customer data","sales-portal-ui","Sat May 31 19:44:45 UTC 2025","passed","Sat May 31 19:44:48 UTC 2025","[E2E] [UI] [Customers] [Details]","ui/tests/SalesPortal/customer/e2e/customers-details.spec.ts","",""
"","1721","Should display valid customer data","sales-portal-ui","Sat May 31 19:46:35 UTC 2025","passed","Sat May 31 19:46:37 UTC 2025","[UI] [Customers] [Details]","ui/tests/SalesPortal/customer/integration(mock)/customer-details.spec.ts","",""
"","3591","Edit customer with smoke data","sales-portal-ui","Sat May 31 19:44:48 UTC 2025","passed","Sat May 31 19:44:52 UTC 2025","[E2E] [UI] [Customers] [Edit]","ui/tests/SalesPortal/customer/e2e/edit-customer.spec.ts","",""
"","1813","Should display correct sorting for createdOn field and asc direction","sales-portal-ui","Sat May 31 19:46:39 UTC 2025","failed","Sat May 31 19:46:41 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","3183","Should check created customer in table","sales-portal-ui","Sat May 31 19:47:04 UTC 2025","passed","Sat May 31 19:47:07 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customer/table-customerList.spec.ts","",""
"","1860","Should display correct sorting for email field and asc direction","sales-portal-ui","Sat May 31 19:46:45 UTC 2025","failed","Sat May 31 19:46:47 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","1735","Should display correct sorting for createdOn field and desc direction","sales-portal-ui","Sat May 31 19:46:37 UTC 2025","failed","Sat May 31 19:46:38 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","1821","Should display correct sorting for name field and asc direction","sales-portal-ui","Sat May 31 19:46:51 UTC 2025","failed","Sat May 31 19:46:53 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","2718","Should search for existing customer by email","sales-portal-ui","Sat May 31 19:47:01 UTC 2025","passed","Sat May 31 19:47:04 UTC 2025","[UI] [Customers] [Search]","ui/tests/SalesPortal/customer/search-customerList-email.spec.ts","",""
"","593","Should display valid Metrics: Orders This Year, New Customers, Canceled Orders","sales-portal-ui","Sat May 31 19:47:09 UTC 2025","passed","Sat May 31 19:47:10 UTC 2025","[UI] [Home] [Metrics]","ui/tests/SalesPortal/home/integration(mock)/home.spec.ts","",""
"","1842","Should display correct sorting for email field and desc direction","sales-portal-ui","Sat May 31 19:46:42 UTC 2025","failed","Sat May 31 19:46:44 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customer/integration(mock)/customers.spec.ts","",""
"","2467","Should see correct error message for name field","sales-portal-ui","Sat May 31 19:47:25 UTC 2025","passed","Sat May 31 19:47:27 UTC 2025","[UI] [Integration] [Products] [Add] Validations","ui/tests/SalesPortal/products/integration(mock)/addProduct-validations.spec.ts","",""
"","5209","Should add and delete customer on Customer page","sales-portal-ui","Sat May 31 19:44:52 UTC 2025","passed","Sat May 31 19:44:57 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customer/e2e.add-delete-customer(hw22)).spec.ts","",""
"","3227","Should Sign in and Create customer","sales-portal-ui","Sat May 31 19:44:57 UTC 2025","passed","Sat May 31 19:45:00 UTC 2025","[E2E] SignIn and Customer Creation","ui/tests/SalesPortal/customer/e2e.login-create-customer.spec.ts","",""
